CocktailId,CocktailName,CanonicalKey,IsApproved,IsPopular,Source,GlassType,TimePeriod,LegacyFlavorProfile,CurrentTagsAll,Aesthetic,"Build Method","Build Pattern","Cocktail Family","Flavor Profile",Mood,Occasion,Strength,Texture
21,"20th Century",cocktail_recipe_book::20th_century,Yes,No,"Cocktail Recipe Book","",Classic,"Simple and Sweet","","","","","","","","","",""
156,A.B.C,cocktail_recipe_book::abc,Yes,No,"Cocktail Recipe Book","",Vintage,"Minty and Delicate","","","","","","","","","",""
177,"Absolutely Fabulous",cocktail_recipe_book::absolutely_fabulous,Yes,No,"Cocktail Recipe Book","",Modern,"Sweet and Fruity","","","","","","","","","",""
134,Acapulco,cocktail_recipe_book::acapulco,Yes,No,"Cocktail Recipe Book","",Classic,"Fruity and Sweet","","","","","","","","","",""
112,"Agent Orange",cocktail_recipe_book::agent_orange,Yes,No,"Cocktail Recipe Book","",Modern,"Citrusy and Sweet","","","","","","","","","",""
176,"Air Mail",cocktail_recipe_book::air_mail,Yes,No,"Cocktail Recipe Book","",Classic,"Bubbly and Sweet","","","","","","","","","",""
113,"Alexander the Great",cocktail_recipe_book::alexander_the_great,Yes,No,"Cocktail Recipe Book","",Modern,"Sweet and Smooth","","","","","","","","","",""
22,Algonquin,cocktail_recipe_book::algonquin,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Aromatic","Build Method: Stirred | Build Pattern: Short Drink","",Stirred,"Short Drink","","","","","",""
178,"Aperol Spritz",cocktail_recipe_book::aperol_spritz,Yes,Yes,"Cocktail Recipe Book","",Vintage,"Herbal and Refreshing","Build Method: Built | Build Pattern: Long Drink | Build Pattern: Simple 3-Ingredient | Build Pattern: Topped With Soda | Flavor Profile: Bitter | Flavor Profile: Fizzy | Flavor Profile: Refreshing | Mood: Poolside | Occasion: Aperitif | Occasion: Summer | Strength: Low-ABV | Strength: Sessionable","",Built,"Long Drink | Simple 3-Ingredient | Topped With Soda","","Bitter | Fizzy | Refreshing",Poolside,"Aperitif | Summer","Low-ABV | Sessionable",""
207,"Apricot Mocktail",ultimate_bar_book_the_comprehensive_guid::apricot_mocktail,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","Strength: Low-ABV","","","","","","","",Low-ABV,""
23,"Archibald's Last Memory",cocktail_recipe_book::archibalds_last_memory,Yes,No,"Cocktail Recipe Book","",Classic,"Bitter and Herbal","","","","","","","","","",""
1,"Army and Navy",cocktail_recipe_book::army_and_navy,Yes,No,"Cocktail Recipe Book","",Classic,"Citrusy and Dry","Build Method: Shaken | Build Pattern: Simple 3-Ingredient | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour | Flavor Profile: Citrusy","",Shaken,"Simple 3-Ingredient | Spirit + Citrus + Sweet",Sour,Citrusy,"","","",""
2,Aviation,cocktail_recipe_book::aviation,Yes,Yes,"Cocktail Recipe Book","",Classic,"Floral and Citrusy","Build Method: Shaken | Build Pattern: Served Up | Build Pattern: Simple 3-Ingredient | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour | Flavor Profile: Citrusy","",Shaken,"Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet",Sour,Citrusy,"","","",""
157,BBC,cocktail_recipe_book::bbc,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Smooth","","","","","","","","","",""
84,"Bahama Mama",cocktail_recipe_book::bahama_mama,Yes,No,"Cocktail Recipe Book","","","Fruity and Sweet","Build Pattern: Complex Spec | Build Pattern: Tiki Multi-Ingredient | Flavor Profile: Tropical","","","Complex Spec | Tiki Multi-Ingredient","",Tropical,"","","",""
208,"Banana Mocha Frappé",ultimate_bar_book_the_comprehensive_guid::banana_mocha_frapp,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","Build Method: Blended | Build Pattern: Frozen Cocktail | Flavor Profile: Creamy | Texture: Creamy","",Blended,"Frozen Cocktail","",Creamy,"","","",Creamy
209,"Beach Breeze",ultimate_bar_book_the_comprehensive_guid::beach_breeze,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
24,"Bee Sting",cocktail_recipe_book::bee_sting,Yes,No,"Cocktail Recipe Book","",Modern,"Spicy and Refreshing","Build Method: Shaken","",Shaken,"","","","","","",""
3,"Bee's Knees",cocktail_recipe_book::bees_knees,Yes,No,"Cocktail Recipe Book","",Classic,"Sweet and Citrusy","Build Method: Shaken | Build Pattern: Served Up | Build Pattern: Simple 3-Ingredient | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour | Flavor Profile: Citrusy","",Shaken,"Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet",Sour,Citrusy,"","","",""
46,Beelzebub,cocktail_recipe_book::beelzebub,Yes,No,"Cocktail Recipe Book","",Modern,"Bitter and Sweet","","","","","","","","","",""
179,Bellini,cocktail_recipe_book::bellini,Yes,No,"Cocktail Recipe Book","",Classic,"Fruity and Sweet","Build Method: Built | Build Pattern: Long Drink | Build Pattern: Simple 3-Ingredient | Build Pattern: Topped With Soda | Flavor Profile: Fizzy | Flavor Profile: Refreshing | Mood: Brunchy | Mood: Playful | Occasion: Brunch | Strength: Low-ABV | Strength: Sessionable","",Built,"Long Drink | Simple 3-Ingredient | Topped With Soda","","Fizzy | Refreshing","Brunchy | Playful",Brunch,"Low-ABV | Sessionable",""
210,"Bergamot-Berry Iced Tea",ultimate_bar_book_the_comprehensive_guid::bergamot_berry_iced_tea,Yes,No,"Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
114,Bernice,cocktail_recipe_book::bernice,Yes,No,"Cocktail Recipe Book","",Modern,"Dry and Citrusy","","","","","","","","","",""
85,"Between the Sheets",cocktail_recipe_book::between_the_sheets,Yes,No,"Cocktail Recipe Book","",Classic,"Citrusy and Spirit-forward","","","","","","","","","",""
4,Bijou,cocktail_recipe_book::bijou,Yes,No,"Cocktail Recipe Book","",Modern,"Complex and Spirit-Forward","Build Method: Stirred | Build Pattern: Served Up | Build Pattern: Short Drink | Build Pattern: Spirit-Forward | Flavor Profile: Bitter | Strength: Spirit-Forward","",Stirred,"Served Up | Short Drink | Spirit-Forward","",Bitter,"","",Spirit-Forward,""
180,"Black Magic",cocktail_recipe_book::black_magic,Yes,No,"Cocktail Recipe Book","",Vintage,"Dry and Bubbly","","","","","","","","","",""
115,"Black Russian",cocktail_recipe_book::black_russian,Yes,No,"Cocktail Recipe Book","",Classic,"Dry and Spirit-forward","Build Method: Stirred | Build Pattern: Served Up | Build Pattern: Short Drink | Build Pattern: Simple 2-Ingredient | Build Pattern: Spirit-Forward | Strength: Spirit-Forward","",Stirred,"Served Up | Short Drink | Simple 2-Ingredient | Spirit-Forward","","","","",Spirit-Forward,""
25,"Black Spring",cocktail_recipe_book::black_spring,Yes,No,"Cocktail Recipe Book","",Modern,"Spicy and Complex","","","","","","","","","",""
26,Blinker,cocktail_recipe_book::blinker,Yes,No,"Cocktail Recipe Book","",Classic,"Zesty and Tart","","","","","","","","","",""
116,"Bloody Mary",cocktail_recipe_book::bloody_mary,Yes,Yes,"Cocktail Recipe Book","",Vintage,"Spicy and Savory","Mood: Brunchy | Occasion: Brunch","","","","","",Brunchy,Brunch,"",""
86,"Blue Hawaiian",cocktail_recipe_book::blue_hawaiian,Yes,No,"Cocktail Recipe Book","","","Fruity and Sweet","Build Pattern: Complex Spec | Build Pattern: Tiki Multi-Ingredient | Flavor Profile: Tropical","","","Complex Spec | Tiki Multi-Ingredient","",Tropical,"","","",""
117,"Blue Lagoon",cocktail_recipe_book::blue_lagoon,Yes,No,"Cocktail Recipe Book","",Modern,"Strong and Sweet","","","","","","","","","",""
47,"Boston Sour",cocktail_recipe_book::boston_sour,Yes,No,"Cocktail Recipe Book","",Classic,"Sweet and Smooth","Build Method: Shaken | Build Pattern: Egg White / Foam | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour | Flavor Profile: Sour | Texture: Frothy","",Shaken,"Egg White / Foam | Spirit + Citrus + Sweet",Sour,Sour,"","","",Frothy
27,Boulevardier,cocktail_recipe_book::boulevardier,Yes,Yes,"Cocktail Recipe Book","",Classic,"Bitter and Spirit-forward","Build Method: Stirred | Build Pattern: Equal Parts | Build Pattern: Served Up | Build Pattern: Short Drink | Build Pattern: Simple 3-Ingredient | Build Pattern: Spirit-Forward | Flavor Profile: Bitter | Mood: Sophisticated | Occasion: Aperitif | Strength: Spirit-Forward","",Stirred,"Equal Parts | Served Up | Short Drink | Simple 3-Ingredient | Spirit-Forward","",Bitter,Sophisticated,Aperitif,Spirit-Forward,""
48,"Bourbon Alexander",cocktail_recipe_book::bourbon_alexander,Yes,No,"Cocktail Recipe Book","",Classic,"Sweet and Decadent","Build Method: Shaken | Build Pattern: Simple 4-Ingredient | Flavor Profile: Creamy | Texture: Creamy","",Shaken,"Simple 4-Ingredient","",Creamy,"","","",Creamy
49,"Bourbon Cider",cocktail_recipe_book::bourbon_cider,Yes,No,"Cocktail Recipe Book","",Modern,"Sweet and Fruity","","","","","","","","","",""
50,"Bourbon Lift",cocktail_recipe_book::bourbon_lift,Yes,No,"Cocktail Recipe Book","",Vintage,"Sweet and Creamy","","","","","","","","","",""
51,"Bourbon Smash",cocktail_recipe_book::bourbon_smash,Yes,No,"Cocktail Recipe Book","",Modern,"Fruity and Refreshing","Build Method: Muddled | Cocktail Family: Smash","",Muddled,"",Smash,"","","","",""
195,Bramble,cocktail_recipe_book::bramble,Yes,No,"Cocktail Recipe Book","",Vintage,"Fruity and Citrusy","Build Method: Shaken | Build Pattern: Over Crushed Ice | Build Pattern: Spirit + Citrus + Sweet | Cocktail Family: Sour","",Shaken,"Over Crushed Ice | Spirit + Citrus + Sweet",Sour,"","","","",""
