"CocktailId","CocktailName","CanonicalKey","Source","GlassType","TimePeriod","LegacyFlavorProfile","Aesthetic","Build Method","Build Pattern","Cocktail Family","Flavor Profile","Mood","Occasion","Strength","Texture","NotesForReview"
"21","20th Century","cocktail_recipe_book::20th_century","Cocktail Recipe Book","","Classic","Simple and Sweet","","","","","","","","","",""
"156","A.B.C","cocktail_recipe_book::abc","Cocktail Recipe Book","","Vintage","Minty and Delicate","","","","Pousse-Cafe","","","","","",""
"177","Absolutely Fabulous","cocktail_recipe_book::absolutely_fabulous","Cocktail Recipe Book","","Modern","Sweet and Fruity","","","","","","","","","",""
"134","Acapulco","cocktail_recipe_book::acapulco","Cocktail Recipe Book","","Classic","Fruity and Sweet","","","","","","","","","",""
"112","Agent Orange","cocktail_recipe_book::agent_orange","Cocktail Recipe Book","","Modern","Citrusy and Sweet","","","","","","","","","",""
"176","Air Mail","cocktail_recipe_book::air_mail","Cocktail Recipe Book","","Classic","Bubbly and Sweet","","","","","","","","","",""
"113","Alexander the Great","cocktail_recipe_book::alexander_the_great","Cocktail Recipe Book","","Modern","Sweet and Smooth","","","","","","","","","",""
"22","Algonquin","cocktail_recipe_book::algonquin","Cocktail Recipe Book","","Vintage","Dry and Aromatic","","Stirred","Short Drink","","","","","","",""
"178","Aperol Spritz","cocktail_recipe_book::aperol_spritz","Cocktail Recipe Book","","Vintage","Herbal and Refreshing","Photogenic","Built","Long Drink | Simple 3-Ingredient | Topped With Soda","","Bitter | Fizzy | Refreshing","Poolside | Chill","Aperitif | Summer | Patio","Low-ABV | Sessionable","Effervescent",""
"23","Archibald's Last Memory","cocktail_recipe_book::archibalds_last_memory","Cocktail Recipe Book","","Classic","Bitter and Herbal","","","","","","","","","",""
"1","Army and Navy","cocktail_recipe_book::army_and_navy","Cocktail Recipe Book","","Classic","Citrusy and Dry","","Shaken","Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy","","","","",""
"2","Aviation","cocktail_recipe_book::aviation","Cocktail Recipe Book","","Classic","Floral and Citrusy","Elegant","Shaken","Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy | Floral","","","Medium","Silky",""
"157","BBC","cocktail_recipe_book::bbc","Cocktail Recipe Book","","Vintage","Dry and Smooth","","","","","","","","","",""
"84","Bahama Mama","cocktail_recipe_book::bahama_mama","Cocktail Recipe Book","","","Fruity and Sweet","Tiki","","Complex Spec | Tiki Multi-Ingredient","","Tropical | Fruity","","","","",""
"24","Bee Sting","cocktail_recipe_book::bee_sting","Cocktail Recipe Book","","Modern","Spicy and Refreshing","","Shaken","","","","","","","",""
"3","Bee's Knees","cocktail_recipe_book::bees_knees","Cocktail Recipe Book","","Classic","Sweet and Citrusy","","Shaken","2:1:1 | Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy","","","Medium","",""
"46","Beelzebub","cocktail_recipe_book::beelzebub","Cocktail Recipe Book","","Modern","Bitter and Sweet","","","","","","","","","",""
"179","Bellini","cocktail_recipe_book::bellini","Cocktail Recipe Book","","Classic","Fruity and Sweet","Festive","Built","Long Drink | Simple 3-Ingredient | Topped With Soda","","Fizzy | Refreshing | Fruity","Brunchy | Playful | Celebratory","Brunch","Low-ABV | Sessionable","Effervescent",""
"114","Bernice","cocktail_recipe_book::bernice","Cocktail Recipe Book","","Modern","Dry and Citrusy","","","","","","","","","",""
"85","Between the Sheets","cocktail_recipe_book::between_the_sheets","Cocktail Recipe Book","","Classic","Citrusy and Spirit-forward","","","","","","","","","",""
"4","Bijou","cocktail_recipe_book::bijou","Cocktail Recipe Book","","Modern","Complex and Spirit-Forward","","Stirred","Served Up | Short Drink | Spirit-Forward","","Bitter | Herbal","","","Spirit-Forward","",""
"180","Black Magic","cocktail_recipe_book::black_magic","Cocktail Recipe Book","","Vintage","Dry and Bubbly","","","","","","","","","",""
"115","Black Russian","cocktail_recipe_book::black_russian","Cocktail Recipe Book","","Classic","Dry and Spirit-forward","","Stirred","Served Up | Short Drink | Simple 2-Ingredient | Spirit-Forward","","","","","Spirit-Forward","",""
"25","Black Spring","cocktail_recipe_book::black_spring","Cocktail Recipe Book","","Modern","Spicy and Complex","","","","","","","","","",""
"26","Blinker","cocktail_recipe_book::blinker","Cocktail Recipe Book","","Classic","Zesty and Tart","","","","","","","","","",""
"116","Bloody Mary","cocktail_recipe_book::bloody_mary","Cocktail Recipe Book","","Vintage","Spicy and Savory","","Rolled","","","Savory | Spicy","Brunchy","Brunch","","",""
"86","Blue Hawaiian","cocktail_recipe_book::blue_hawaiian","Cocktail Recipe Book","","","Fruity and Sweet","","","Complex Spec | Tiki Multi-Ingredient","","Tropical","","","","",""
"117","Blue Lagoon","cocktail_recipe_book::blue_lagoon","Cocktail Recipe Book","","Modern","Strong and Sweet","","","","","","","","","",""
"47","Boston Sour","cocktail_recipe_book::boston_sour","Cocktail Recipe Book","","Classic","Sweet and Smooth","","Dry Shake | Shaken","Egg White / Foam | Spirit + Citrus + Sweet","Sour","Sour","","","","Frothy",""
"27","Boulevardier","cocktail_recipe_book::boulevardier","Cocktail Recipe Book","","Classic","Bitter and Spirit-forward","","Stirred","Equal Parts | Served Up | Short Drink | Simple 3-Ingredient | Spirit-Forward","","Bitter","Sophisticated","Aperitif | Dinner Party","Spirit-Forward","",""
"48","Bourbon Alexander","cocktail_recipe_book::bourbon_alexander","Cocktail Recipe Book","","Classic","Sweet and Decadent","","Shaken","Simple 4-Ingredient","","Creamy","","","","Creamy",""
"49","Bourbon Cider","cocktail_recipe_book::bourbon_cider","Cocktail Recipe Book","","Modern","Sweet and Fruity","","","","","","","","","",""
"50","Bourbon Lift","cocktail_recipe_book::bourbon_lift","Cocktail Recipe Book","","Vintage","Sweet and Creamy","","","","","","","","","",""
"51","Bourbon Smash","cocktail_recipe_book::bourbon_smash","Cocktail Recipe Book","","Modern","Fruity and Refreshing","","Muddled","","Smash","","","","","",""
"195","Bramble","cocktail_recipe_book::bramble","Cocktail Recipe Book","","Vintage","Fruity and Citrusy","","Shaken","Over Crushed Ice | Spirit + Citrus + Sweet","Sour","","","","","Icy",""
"158","Brandy Alexander","cocktail_recipe_book::brandy_alexander","Cocktail Recipe Book","","Vintage","Rich and Spirit-forward","","Shaken","Simple 4-Ingredient","","Creamy | Coffee / Chocolate","","After Dinner","","Creamy",""
"159","Brandy Cobbler","cocktail_recipe_book::brandy_cobbler","Cocktail Recipe Book","","Vintage","Dry and Spirit-forward","","","","Cobbler","","","","","",""
"160","Brandy Cocktail","cocktail_recipe_book::brandy_cocktail","Cocktail Recipe Book","","Vintage","Subtle and Fresh","","","","","","","","","",""
"161","Brandy Fix","cocktail_recipe_book::brandy_fix","Cocktail Recipe Book","","Classic","Fruity and Tart","","","","","","","","","",""
"162","Brandy Milk Punch","cocktail_recipe_book::brandy_milk_punch","Cocktail Recipe Book","","Classic","Smooth and Rich","","","","Puff","","","After Dinner | Holiday","","",""
"163","Brandy Smash","cocktail_recipe_book::brandy_smash","Cocktail Recipe Book","","Classic","Minty and Sweet","","Muddled","","Smash","","","","","",""
"28","Brooklyn","cocktail_recipe_book::brooklyn","Cocktail Recipe Book","","Modern","Dry and Spirit-forward","","Stirred","Served Up | Short Drink | Spirit-Forward","","","","","Spirit-Forward","",""
"52","Brown Derby","cocktail_recipe_book::brown_derby","Cocktail Recipe Book","","Classic","Fruity and Tart","","Shaken","Spirit + Citrus + Sweet","Sour","","","","","",""
"87","Bumboo","cocktail_recipe_book::bumboo","Cocktail Recipe Book","","","Fruity and Spicy","","","","Sangaree","Fruity | Spicy","","","","",""
"118","Caesar","cocktail_recipe_book::caesar","Cocktail Recipe Book","","Vintage","Savory and Salty","","Rolled","","","Savory","Brunchy","Brunch","","",""
"135","Cantaritos","cocktail_recipe_book::cantaritos","Cocktail Recipe Book","","Modern","Citrusy and Sweet","","","","","","","","","",""
"119","Cape Codder","cocktail_recipe_book::cape_codder","Cocktail Recipe Book","","Modern","Sweet and Refreshing","","Built","Long Drink","","Fizzy | Refreshing","","","Sessionable","",""
"196","Casino","cocktail_recipe_book::casino","Cocktail Recipe Book","","Vintage","Dry and Spirit-forward","","Shaken","","","","","","","",""
"181","Champagne Cocktail","cocktail_recipe_book::champagne_cocktail","Cocktail Recipe Book","","Classic","Dry and Herbal","Elegant | Festive","","","","","Celebratory | Festive | Romantic","Date Night | Dinner Party | Holiday","","Effervescent",""
"182","Champino","cocktail_recipe_book::champino","Cocktail Recipe Book","","Vintage","Dry and Bittersweet","","","","","","","","","",""
"164","Champs Elysees","cocktail_recipe_book::champs_elysees","Cocktail Recipe Book","","Vintage","Dry and Citrusy","","","","","","","","","",""
"183","Chin Chin (by Tony Conigliaro)","cocktail_recipe_book::chin_chin_by_tony_conigliaro","Cocktail Recipe Book","","Modern","Sweet and Bubbly","","","","","","","","","",""
"165","Chrysanthemum","cocktail_recipe_book::chrysanthemum","Cocktail Recipe Book","","Classic","Dry and Herbal","","Stirred","Short Drink | Fortified Wine Forward","","Herbal","","","","",""
"166","Classic Cocktail","cocktail_recipe_book::classic_cocktail","Cocktail Recipe Book","","Classic","Citrusy and Sweet","","Blended | Stirred","Frozen Cocktail | Short Drink","","","","","","",""
"197","Clover Club","cocktail_recipe_book::clover_club","Cocktail Recipe Book","","Vintage","Sweet and Fruity","","Dry Shake | Shaken","Egg White / Foam | Simple 4-Ingredient","","Fruity","","","","Frothy",""
"198","Coco Chanel","cocktail_recipe_book::coco_chanel","Cocktail Recipe Book","","Classic","Sweet and Spirit Forward","","","","","","","","","",""
"167","Corpse Reviver","cocktail_recipe_book::corpse_reviver","Cocktail Recipe Book","","Classic","Strong and Dry","","Shaken","Simple 4-Ingredient","Sour","","","","","",""
"5","Corpse Reviver #2","cocktail_recipe_book::corpse_reviver_#2","Cocktail Recipe Book","","Classic","Tart and Spirit-forward","Dramatic","Shaken","Equal Parts | Served Up | Simple 4-Ingredient","Sour","Citrusy","Late-Night","","","",""
"120","Cosmopolitan","cocktail_recipe_book::cosmopolitan","Cocktail Recipe Book","","Modern","Citrusy and Sweet","Colorful","Shaken","Served Up | Simple 4-Ingredient","","","Playful | Flirty","","Medium","",""
"168","Crusta","cocktail_recipe_book::crusta","Cocktail Recipe Book","","Modern","Complex and Spirit-Forward","","","","Crusta","","","","","",""
"88","Cuba Libre","cocktail_recipe_book::cuba_libre","Cocktail Recipe Book","","Vintage","Sweet and Bubbly","","Built","Long Drink | Simple 3-Ingredient","","","","","Sessionable","",""
"89","Daiquiri","cocktail_recipe_book::daiquiri","Cocktail Recipe Book","","Classic","Tart and Citrusy","","Shaken","2:1:1 | Served Up | Simple 3-Ingredient | Spirit + Citrus + Sweet","Sour","Citrusy","","","Medium","",""
"90","Daiquiri (Blended)","cocktail_recipe_book::daiquiri_blended","Cocktail Recipe Book","","Modern","Sweet and Citrusy","","Blended","Frozen Cocktail","","","","","","",""
"91","Daiquiri (With Fruit)","cocktail_recipe_book::daiquiri_with_fruit","Cocktail Recipe Book","","Modern","","","Shaken","","","","","","","",""
"169","Daisy","cocktail_recipe_book::daisy","Cocktail Recipe Book","","Classic","Citrusy and Refreshing","","","","Daisy","Citrusy | Refreshing","","","","",""
"92","Dark and Stormy","cocktail_recipe_book::dark_and_stormy","Cocktail Recipe Book","","Modern","Spicy and Refreshing","","Built","Long Drink | Simple 3-Ingredient | Spirit + Citrus + Sweet","Buck","Fizzy | Refreshing","","","Sessionable","",""
